sku,name,category,price,stock
IPH-1001,iPhone 17 Pro,Smartphone,999.00,25
SAM-2002,Samsung Galaxy S26,Smartphone,899.00,30
DEL-3003,Dell XPS 15 Laptop,Laptop,1499.00,15
LOG-4004,Logitech MX Master 3S,Accessory,99.00,60
SON-5005,Sony WH-1000XM6 Headphones,Audio,349.00,40
APP-6006,Apple Watch Series 11,Wearable,399.00,20
ASU-7007,Asus ROG Strix Laptop,Laptop,1799.00,10
XIA-8008,Xiaomi Mi Band 9,Wearable,49.00,100
CAN-9009,Canon EOS R10 Camera,Camera,979.00,8
JBL-1010,JBL Flip 6 Speaker,Audio,129.00,50
